Gene,pvalue,log2FoldChange,pct.1,pct.2,padj,comparison
SEP7,0.00023,-0.26601,0.87900,0.82400,1.00000,ciliated_sars_vs_healthy
SEP15,0.00000,0.34271,0.88200,0.67700,0.00000,ciliated_sars_vs_healthy
ABCA13,0.00000,-0.38062,0.92500,0.84200,0.01006,ciliated_sars_vs_healthy
ABCC5,0.00000,-0.41934,0.43400,0.47900,0.00000,ciliated_sars_vs_healthy
ABI2,0.00000,-0.28130,0.62300,0.57200,0.00083,ciliated_sars_vs_healthy
ABLIM1,0.00000,0.49304,0.93300,0.73400,0.00000,ciliated_sars_vs_healthy
ABRACL,0.00000,0.39247,0.86400,0.61800,0.00000,ciliated_sars_vs_healthy
AC110619.2,0.00000,0.35086,0.50300,0.08600,0.00000,ciliated_sars_vs_healthy
ACAP2,0.00000,-0.32747,0.85100,0.77500,0.00000,ciliated_sars_vs_healthy
ACOT11,0.00000,-0.31256,0.21200,0.37300,0.00000,ciliated_sars_vs_healthy
ACSL3,0.00000,0.26824,0.91000,0.74900,0.00000,ciliated_sars_vs_healthy
ADAM28,0.00000,-0.37614,0.87100,0.80100,0.00040,ciliated_sars_vs_healthy
ADH1B,0.00000,0.43293,0.69700,0.36300,0.00000,ciliated_sars_vs_healthy
ADI1,0.00000,0.46667,0.89600,0.69400,0.00000,ciliated_sars_vs_healthy
ADRM1,0.00000,0.30115,0.83700,0.58500,0.00000,ciliated_sars_vs_healthy
AGL,0.00000,-0.38706,0.63700,0.62800,0.00000,ciliated_sars_vs_healthy
AGO3,0.00000,-0.25740,0.54400,0.53000,0.00040,ciliated_sars_vs_healthy
AGR2,0.00000,2.11909,0.97100,0.91500,0.00000,ciliated_sars_vs_healthy
AHNAK,0.00000,-0.47702,0.95500,0.95900,0.00000,ciliated_sars_vs_healthy
AHNAK2,0.00000,-0.42447,0.15600,0.32700,0.00000,ciliated_sars_vs_healthy
AHSA2,0.00000,-0.25916,0.54700,0.53000,0.00180,ciliated_sars_vs_healthy
AKAP9,0.00000,-0.27327,0.93000,0.88000,0.00000,ciliated_sars_vs_healthy
AKR1A1,0.00000,0.52428,0.94800,0.85400,0.00000,ciliated_sars_vs_healthy
AKR1B10,0.00000,0.44697,0.58400,0.26800,0.00000,ciliated_sars_vs_healthy
AKR1C1,0.00000,0.47658,0.85300,0.72100,0.00000,ciliated_sars_vs_healthy
AKR1C2,0.00013,0.32314,0.93000,0.85200,1.00000,ciliated_sars_vs_healthy
ALCAM,0.00000,0.25449,0.97400,0.91800,0.00000,ciliated_sars_vs_healthy
ALDH1A1,0.00000,0.39851,0.98800,0.97200,0.00000,ciliated_sars_vs_healthy
ALDH3A2,0.00000,-0.51807,0.83600,0.80100,0.00000,ciliated_sars_vs_healthy
ALDH3B1,0.00000,0.44041,0.77400,0.38700,0.00000,ciliated_sars_vs_healthy
ALDH7A1,0.00000,-0.37723,0.39900,0.39200,0.03292,ciliated_sars_vs_healthy
ALDOA,0.00000,0.51361,0.96600,0.94400,0.00000,ciliated_sars_vs_healthy
ALPL,0.00000,0.99723,0.79700,0.23400,0.00000,ciliated_sars_vs_healthy
AMD1,0.00000,0.34668,0.86700,0.60100,0.00000,ciliated_sars_vs_healthy
AMN,0.00000,0.31349,0.68200,0.24400,0.00000,ciliated_sars_vs_healthy
ANAPC11,0.00000,0.35882,0.87700,0.68700,0.00000,ciliated_sars_vs_healthy
ANG,0.00000,0.49271,0.60600,0.15600,0.00000,ciliated_sars_vs_healthy
ANK3,0.00000,-0.53750,0.80200,0.80100,0.00000,ciliated_sars_vs_healthy
ANKLE2,0.00000,-0.26464,0.71400,0.65600,0.00005,ciliated_sars_vs_healthy
ANKRD11,0.00000,-0.44962,0.84600,0.82800,0.00000,ciliated_sars_vs_healthy
ANKRD12,0.00000,-0.55273,0.89100,0.84500,0.00000,ciliated_sars_vs_healthy
ANKRD17,0.00000,-0.26709,0.75500,0.70300,0.00000,ciliated_sars_vs_healthy
ANKRD36,0.05729,-0.29800,0.74900,0.61300,1.00000,ciliated_sars_vs_healthy
ANXA1,0.00000,0.69597,0.97500,0.97500,0.00000,ciliated_sars_vs_healthy
ANXA11,0.00000,0.26884,0.95500,0.88200,0.00000,ciliated_sars_vs_healthy
ANXA3,0.00000,0.28378,0.84400,0.59600,0.00000,ciliated_sars_vs_healthy
ANXA4,0.00000,0.29102,0.83900,0.59900,0.00000,ciliated_sars_vs_healthy
ANXA5,0.00000,0.35299,0.88700,0.73700,0.00000,ciliated_sars_vs_healthy
AP2S1,0.00000,0.29619,0.84100,0.61700,0.00000,ciliated_sars_vs_healthy
APLP2,0.00000,-0.62688,0.95100,0.94800,0.00000,ciliated_sars_vs_healthy
APOD,0.00000,0.49002,0.62200,0.20100,0.00000,ciliated_sars_vs_healthy
APP,0.00000,-0.36656,0.87500,0.83200,0.00000,ciliated_sars_vs_healthy
APPL1,0.01558,-0.25035,0.68700,0.57700,1.00000,ciliated_sars_vs_healthy
AQP3,0.00000,-0.61382,0.98800,0.99700,0.00000,ciliated_sars_vs_healthy
AQP5,0.00000,0.57291,0.94100,0.87500,0.00000,ciliated_sars_vs_healthy
ARAP2,0.00000,-0.25784,0.68000,0.62100,0.00332,ciliated_sars_vs_healthy
ARF4,0.00000,0.44804,0.89600,0.70300,0.00000,ciliated_sars_vs_healthy
ARFGAP3,0.00000,0.27185,0.86000,0.63000,0.00000,ciliated_sars_vs_healthy
ARGLU1,0.00000,-0.29645,0.91700,0.85200,0.00000,ciliated_sars_vs_healthy
ARHGAP21,0.00000,-0.33432,0.67300,0.63900,0.00000,ciliated_sars_vs_healthy
ARHGAP23,0.00000,-0.35302,0.47900,0.48700,0.00000,ciliated_sars_vs_healthy
ARHGAP24,0.00000,-0.33381,0.43100,0.45800,0.00000,ciliated_sars_vs_healthy
ARHGAP5,0.00000,-0.40428,0.87200,0.85100,0.00000,ciliated_sars_vs_healthy
ARHGDIB,0.00000,0.39567,0.81200,0.60000,0.00000,ciliated_sars_vs_healthy
ARHGEF12,0.00000,-0.37808,0.78900,0.76800,0.00000,ciliated_sars_vs_healthy
ARID4B,0.00000,-0.25497,0.84900,0.78300,0.00000,ciliated_sars_vs_healthy
ARID5B,0.00000,-0.30241,0.74100,0.70600,0.00020,ciliated_sars_vs_healthy
ARL1,0.00000,0.35368,0.89200,0.69200,0.00000,ciliated_sars_vs_healthy
ARL4A,0.21340,-0.30017,0.77300,0.63700,1.00000,ciliated_sars_vs_healthy
ARL4C,0.00000,-0.38140,0.16000,0.31700,0.00000,ciliated_sars_vs_healthy
ARL4D,0.00000,-0.46757,0.39300,0.44900,0.00000,ciliated_sars_vs_healthy
ARPC1B,0.00000,0.29102,0.85500,0.68900,0.00000,ciliated_sars_vs_healthy
ARPC3,0.00000,0.74269,0.94900,0.90100,0.00000,ciliated_sars_vs_healthy
ARRB2,0.00000,0.34767,0.71400,0.37200,0.00000,ciliated_sars_vs_healthy
ARRDC3,0.00000,-0.34828,0.66200,0.62400,0.00000,ciliated_sars_vs_healthy
ARSD,0.00000,-0.48923,0.57500,0.64500,0.00000,ciliated_sars_vs_healthy
ASAH1,0.00000,0.25347,0.95600,0.87300,0.00000,ciliated_sars_vs_healthy
ASH1L,0.00000,-0.41634,0.83300,0.81500,0.00000,ciliated_sars_vs_healthy
ASRGL1,0.00000,0.57023,0.92900,0.72000,0.00000,ciliated_sars_vs_healthy
ASS1,0.00000,0.56987,0.94800,0.84200,0.00000,ciliated_sars_vs_healthy
ATOX1,0.00000,0.58318,0.91000,0.70100,0.00000,ciliated_sars_vs_healthy
ATP12A,0.00000,1.11940,0.67400,0.20300,0.00000,ciliated_sars_vs_healthy
ATP1A1,0.00000,-0.62095,0.96100,0.96100,0.00000,ciliated_sars_vs_healthy
ATP1B1,0.00000,0.42929,0.99200,0.96300,0.00000,ciliated_sars_vs_healthy
ATP1B3,0.00000,-1.02732,0.87600,0.90300,0.00000,ciliated_sars_vs_healthy
ATP2A2,0.00000,-0.30937,0.87900,0.83800,0.00000,ciliated_sars_vs_healthy
ATP2B4,0.00000,-0.45178,0.47100,0.46200,0.00001,ciliated_sars_vs_healthy
ATP2C2,0.00000,0.28150,0.64900,0.29700,0.00000,ciliated_sars_vs_healthy
ATP5C1,0.00000,0.40290,0.91400,0.73100,0.00000,ciliated_sars_vs_healthy
ATP5E,0.00000,0.84574,0.95400,0.91700,0.00000,ciliated_sars_vs_healthy
ATP5I,0.00000,0.74420,0.95100,0.86800,0.00000,ciliated_sars_vs_healthy
ATP5J2,0.00000,0.52219,0.92000,0.81800,0.00000,ciliated_sars_vs_healthy
ATP5L,0.00000,0.45476,0.94200,0.88200,0.00000,ciliated_sars_vs_healthy
ATP5O,0.00000,0.25489,0.90900,0.81300,0.00000,ciliated_sars_vs_healthy
ATP6V0B,0.00000,0.44790,0.91200,0.81100,0.00000,ciliated_sars_vs_healthy
ATP6V0E1,0.00000,0.35266,0.91900,0.82400,0.00000,ciliated_sars_vs_healthy
ATP6V1F,0.00000,0.45714,0.85300,0.69400,0.00000,ciliated_sars_vs_healthy
ATP6V1G1,0.00000,0.55289,0.96700,0.90700,0.00000,ciliated_sars_vs_healthy
ATPIF1,0.00000,0.44459,0.93500,0.85500,0.00000,ciliated_sars_vs_healthy
ATRX,0.00000,-0.47249,0.87800,0.86200,0.00000,ciliated_sars_vs_healthy
ATXN1,0.00000,-0.26070,0.24800,0.32000,0.00000,ciliated_sars_vs_healthy
AURKAIP1,0.00000,0.33972,0.90800,0.77200,0.00000,ciliated_sars_vs_healthy
AZGP1,0.00000,0.45804,0.67300,0.21800,0.00000,ciliated_sars_vs_healthy
B2M,0.00000,0.60196,0.99600,0.99700,0.00000,ciliated_sars_vs_healthy
B3GALT5,0.00000,-0.33383,0.48700,0.51800,0.00000,ciliated_sars_vs_healthy
B3GNT7,0.00000,0.31837,0.75900,0.41300,0.00000,ciliated_sars_vs_healthy
B4GALT5,0.00000,0.38128,0.91100,0.75400,0.00000,ciliated_sars_vs_healthy
BAG1,0.00000,0.35677,0.94600,0.85800,0.00000,ciliated_sars_vs_healthy
BAG3,0.00000,-0.30758,0.55000,0.50100,0.00758,ciliated_sars_vs_healthy
BAX,0.00000,0.26127,0.74700,0.38200,0.00000,ciliated_sars_vs_healthy
BAZ1B,0.00013,-0.30820,0.66800,0.58600,1.00000,ciliated_sars_vs_healthy
BAZ2B,0.00000,-0.42067,0.81300,0.78500,0.00000,ciliated_sars_vs_healthy
BCAM,0.00000,-0.74165,0.21300,0.42100,0.00000,ciliated_sars_vs_healthy
BCAS1,0.00000,0.47385,0.84100,0.50300,0.00000,ciliated_sars_vs_healthy
BCAT1,0.00000,0.64722,0.47100,0.07500,0.00000,ciliated_sars_vs_healthy
BCL2L11,0.00000,-0.26217,0.45800,0.49300,0.00000,ciliated_sars_vs_healthy
BCL6,0.00000,-0.34992,0.82800,0.76600,0.00000,ciliated_sars_vs_healthy
BCLAF1,0.00000,-0.36237,0.88800,0.84100,0.00000,ciliated_sars_vs_healthy
BDP1,0.00000,-0.26662,0.72600,0.68700,0.00000,ciliated_sars_vs_healthy
BHLHE40,0.00000,-0.51948,0.66200,0.69200,0.00000,ciliated_sars_vs_healthy
BID,0.00000,0.26561,0.71900,0.37200,0.00000,ciliated_sars_vs_healthy
BIK,0.00000,0.43210,0.77800,0.37200,0.00000,ciliated_sars_vs_healthy
BIRC3,0.00000,0.32750,0.65600,0.33000,0.00000,ciliated_sars_vs_healthy
BLOC1S1,0.00000,0.57851,0.90300,0.74600,0.00000,ciliated_sars_vs_healthy
BLVRB,0.00000,0.42682,0.88800,0.73500,0.00000,ciliated_sars_vs_healthy
BOD1L1,0.00000,-0.41468,0.83900,0.77000,0.00000,ciliated_sars_vs_healthy
BPIFA1,0.00000,-0.39648,0.40100,0.48000,0.02265,ciliated_sars_vs_healthy
BPIFA2,0.00000,0.60822,0.62400,0.17500,0.00000,ciliated_sars_vs_healthy
BPIFB1,0.00000,2.07845,0.83600,0.52800,0.00000,ciliated_sars_vs_healthy
BPTF,0.00000,-0.37088,0.84000,0.78000,0.00000,ciliated_sars_vs_healthy
BRD2,0.00000,-0.28625,0.85100,0.78700,0.00000,ciliated_sars_vs_healthy
BRD4,0.00000,-0.27209,0.78400,0.74200,0.00000,ciliated_sars_vs_healthy
BRI3,0.00000,0.42036,0.87500,0.78200,0.00000,ciliated_sars_vs_healthy
BRWD1,0.00000,-0.35420,0.73100,0.69900,0.00000,ciliated_sars_vs_healthy
BST2,0.00000,0.75988,0.88500,0.62400,0.00000,ciliated_sars_vs_healthy
BTG1,0.00000,-0.59664,0.90100,0.91700,0.00000,ciliated_sars_vs_healthy
BTG2,0.00000,-0.66061,0.28100,0.46300,0.00000,ciliated_sars_vs_healthy
BZW1,0.00000,0.32838,0.95200,0.85500,0.00000,ciliated_sars_vs_healthy
C10orf54,0.00000,0.26720,0.75500,0.43000,0.00000,ciliated_sars_vs_healthy
C11orf31,0.00000,0.49128,0.91600,0.73400,0.00000,ciliated_sars_vs_healthy
C11orf58,0.00000,0.28693,0.92800,0.78200,0.00000,ciliated_sars_vs_healthy
C12orf23,0.00000,0.28949,0.66700,0.32700,0.00000,ciliated_sars_vs_healthy
C14orf166,0.00000,0.26950,0.88300,0.70300,0.00000,ciliated_sars_vs_healthy
C14orf2,0.00000,0.55306,0.93400,0.83700,0.00000,ciliated_sars_vs_healthy
C15orf48,0.00000,1.40066,0.81300,0.42300,0.00000,ciliated_sars_vs_healthy
C16orf13,0.00000,0.25110,0.73200,0.37900,0.00000,ciliated_sars_vs_healthy
C19orf10,0.00000,0.74937,0.88800,0.61300,0.00000,ciliated_sars_vs_healthy
C19orf33,0.00000,1.09934,0.95300,0.84400,0.00000,ciliated_sars_vs_healthy
C19orf53,0.00000,0.30551,0.86500,0.73200,0.00000,ciliated_sars_vs_healthy
C19orf70,0.00000,0.27695,0.85900,0.65100,0.00000,ciliated_sars_vs_healthy
C1orf122,0.00000,0.27934,0.76100,0.47200,0.00000,ciliated_sars_vs_healthy
C1orf63,0.00000,-0.42543,0.85300,0.81300,0.00000,ciliated_sars_vs_healthy
C20orf24,0.00000,0.41651,0.86200,0.66100,0.00000,ciliated_sars_vs_healthy
C4orf3,0.00000,0.36971,0.89300,0.75900,0.00000,ciliated_sars_vs_healthy
C6orf48,0.00719,-0.30591,0.43000,0.37600,1.00000,ciliated_sars_vs_healthy
C8orf59,0.00000,0.39614,0.89100,0.70700,0.00000,ciliated_sars_vs_healthy
C9orf16,0.00000,0.36796,0.87700,0.76300,0.00000,ciliated_sars_vs_healthy
CA12,0.00000,-0.70158,0.53600,0.57300,0.00000,ciliated_sars_vs_healthy
CALD1,0.00000,-0.50867,0.11200,0.21400,0.00000,ciliated_sars_vs_healthy
CALM2,0.00000,0.38382,0.94200,0.90600,0.00000,ciliated_sars_vs_healthy
CALML3,0.00000,-0.68838,0.01800,0.24200,0.00000,ciliated_sars_vs_healthy
CANX,0.00000,-0.27582,0.93400,0.91300,0.00000,ciliated_sars_vs_healthy
CAPN13,0.00000,0.27630,0.71600,0.50700,0.00000,ciliated_sars_vs_healthy
CAPS,0.00000,-0.49309,0.15600,0.45200,0.00000,ciliated_sars_vs_healthy
CARHSP1,0.00000,0.36415,0.85100,0.63500,0.00000,ciliated_sars_vs_healthy
CASK,0.00003,-0.25170,0.52800,0.48900,0.68954,ciliated_sars_vs_healthy
CASP4,0.00000,0.26195,0.85900,0.64600,0.00000,ciliated_sars_vs_healthy
CAST,0.00000,-0.28780,0.97000,0.95600,0.00000,ciliated_sars_vs_healthy
CBR1,0.00000,0.84758,0.90800,0.66900,0.00000,ciliated_sars_vs_healthy
CBR3,0.00000,0.42902,0.57200,0.21100,0.00000,ciliated_sars_vs_healthy
CBX6,0.00000,0.28690,0.72000,0.36100,0.00000,ciliated_sars_vs_healthy
CCAR1,0.00000,-0.27992,0.79900,0.74400,0.00001,ciliated_sars_vs_healthy
CCL28,0.00000,0.26865,0.65000,0.28600,0.00000,ciliated_sars_vs_healthy
CCND1,0.00000,0.30567,0.84400,0.59700,0.00000,ciliated_sars_vs_healthy
CCNL1,0.00000,-0.32314,0.76800,0.72000,0.00000,ciliated_sars_vs_healthy
CCNO,0.00000,0.43340,0.72800,0.40700,0.00000,ciliated_sars_vs_healthy
CD44,0.00000,-0.85641,0.70700,0.71700,0.00000,ciliated_sars_vs_healthy
CD46,0.00000,-0.33176,0.92200,0.87200,0.00000,ciliated_sars_vs_healthy
CD47,0.00000,0.26949,0.87000,0.66500,0.00000,ciliated_sars_vs_healthy
CD63,0.00000,0.44990,0.97800,0.97000,0.00000,ciliated_sars_vs_healthy
CD81,0.00000,-0.77706,0.91100,0.89200,0.00000,ciliated_sars_vs_healthy
CD9,0.00000,-0.52819,0.96700,0.97700,0.00000,ciliated_sars_vs_healthy
CDC42EP5,0.00000,0.93403,0.90800,0.60300,0.00000,ciliated_sars_vs_healthy
CDH1,0.00000,-0.26932,0.88300,0.83400,0.00000,ciliated_sars_vs_healthy
CDK12,0.00000,-0.30238,0.70700,0.67500,0.00000,ciliated_sars_vs_healthy
CDK13,0.00000,-0.26635,0.63000,0.62400,0.00000,ciliated_sars_vs_healthy
CEACAM5,0.00000,1.16412,0.92600,0.48300,0.00000,ciliated_sars_vs_healthy
CEACAM6,0.00000,0.88587,0.84700,0.41300,0.00000,ciliated_sars_vs_healthy
CEBPD,0.00000,-0.36773,0.89600,0.86500,0.00000,ciliated_sars_vs_healthy
CENPC,0.00000,-0.32236,0.73400,0.69300,0.00000,ciliated_sars_vs_healthy
CEP68,0.00000,-0.42899,0.26300,0.40400,0.00000,ciliated_sars_vs_healthy
CES1,0.00000,-0.75828,0.22000,0.31400,0.00000,ciliated_sars_vs_healthy
CES2,0.00825,-0.26415,0.49100,0.42400,1.00000,ciliated_sars_vs_healthy
CFB,0.00000,0.54015,0.81600,0.39700,0.00000,ciliated_sars_vs_healthy
CFL1,0.00000,0.27769,0.93300,0.93400,0.00000,ciliated_sars_vs_healthy
CFLAR,0.00000,-0.36566,0.84500,0.80700,0.00000,ciliated_sars_vs_healthy
CHCHD2,0.00000,0.56565,0.93600,0.88900,0.00000,ciliated_sars_vs_healthy
CHD2,0.00000,-0.44757,0.84700,0.82000,0.00000,ciliated_sars_vs_healthy
CHD3,0.00000,-0.25051,0.82500,0.74600,0.00013,ciliated_sars_vs_healthy
CHD6,0.00000,-0.28231,0.74800,0.71000,0.00000,ciliated_sars_vs_healthy
CHD7,0.00000,-0.25818,0.45700,0.48200,0.00001,ciliated_sars_vs_healthy
CHD9,0.00000,-0.47419,0.85600,0.83200,0.00000,ciliated_sars_vs_healthy
CHL1,0.00000,-0.31027,0.85000,0.77000,0.00000,ciliated_sars_vs_healthy
CHMP2A,0.00000,0.26669,0.90600,0.79400,0.00000,ciliated_sars_vs_healthy
CHMP2B,0.00000,0.26031,0.80900,0.53900,0.00000,ciliated_sars_vs_healthy
CHMP3,0.00000,0.31853,0.90000,0.68000,0.00000,ciliated_sars_vs_healthy
CHMP4B,0.00000,0.29013,0.90500,0.74900,0.00000,ciliated_sars_vs_healthy
CHMP5,0.00000,0.46212,0.88200,0.66300,0.00000,ciliated_sars_vs_healthy
CHP1,0.00000,0.42575,0.88300,0.62000,0.00000,ciliated_sars_vs_healthy
CHPT1,0.00000,0.47055,0.86700,0.57000,0.00000,ciliated_sars_vs_healthy
CIB1,0.00000,0.39763,0.90100,0.83900,0.00000,ciliated_sars_vs_healthy
CISD1,0.00000,0.30901,0.81500,0.49600,0.00000,ciliated_sars_vs_healthy
CISD2,0.00000,0.26655,0.69500,0.34200,0.00000,ciliated_sars_vs_healthy
CITED4,0.00000,0.33566,0.72000,0.34400,0.00000,ciliated_sars_vs_healthy
CLCA2,0.00000,-0.59424,0.05800,0.27900,0.00000,ciliated_sars_vs_healthy
CLCA4,0.00000,-0.96280,0.21100,0.38900,0.00000,ciliated_sars_vs_healthy
CLDN1,0.00000,-0.50734,0.72000,0.74600,0.00000,ciliated_sars_vs_healthy
CLDN10,0.00000,0.57867,0.53500,0.18000,0.00000,ciliated_sars_vs_healthy
CLDN3,0.00000,0.25089,0.63200,0.30400,0.00000,ciliated_sars_vs_healthy
CLDN7,0.00000,0.71224,0.97900,0.94400,0.00000,ciliated_sars_vs_healthy
CLEC2B,0.27488,-0.25809,0.72400,0.61700,1.00000,ciliated_sars_vs_healthy
CLIC1,0.00000,0.51244,0.95500,0.92100,0.00000,ciliated_sars_vs_healthy
CLIC3,0.00000,0.44767,0.51400,0.15200,0.00000,ciliated_sars_vs_healthy
CLK1,0.00000,-0.33550,0.59200,0.61700,0.00000,ciliated_sars_vs_healthy
CLSTN1,0.00000,-0.64323,0.84700,0.83900,0.00000,ciliated_sars_vs_healthy
CLTA,0.00000,0.49369,0.93400,0.82000,0.00000,ciliated_sars_vs_healthy
CLTB,0.00000,0.45233,0.89900,0.68700,0.00000,ciliated_sars_vs_healthy
CLU,0.00000,-0.59828,0.89500,0.74900,0.00004,ciliated_sars_vs_healthy
CMAS,0.00000,0.39676,0.84700,0.56800,0.00000,ciliated_sars_vs_healthy
CMPK1,0.00000,0.30487,0.93000,0.80000,0.00000,ciliated_sars_vs_healthy
CMYA5,0.00000,-0.41601,0.53200,0.53400,0.00001,ciliated_sars_vs_healthy
CNKSR3,0.97842,-0.26190,0.57300,0.46900,1.00000,ciliated_sars_vs_healthy
CNPY2,0.00000,0.26402,0.86900,0.67900,0.00000,ciliated_sars_vs_healthy
COA3,0.00000,0.30593,0.78400,0.47500,0.00000,ciliated_sars_vs_healthy
COL4A5,0.00000,-0.36281,0.22800,0.35800,0.00000,ciliated_sars_vs_healthy
COPE,0.00000,0.46235,0.90700,0.78600,0.00000,ciliated_sars_vs_healthy
COX14,0.00000,0.44165,0.88900,0.68900,0.00000,ciliated_sars_vs_healthy
COX16,0.00000,0.59260,0.91500,0.73800,0.00000,ciliated_sars_vs_healthy
COX17,0.00000,0.78312,0.91500,0.64500,0.00000,ciliated_sars_vs_healthy
COX4I1,0.00000,0.29144,0.93500,0.92800,0.00000,ciliated_sars_vs_healthy
COX5A,0.00000,0.54003,0.93300,0.78500,0.00000,ciliated_sars_vs_healthy
COX6A1,0.00000,0.71941,0.95600,0.89700,0.00000,ciliated_sars_vs_healthy
COX6B1,0.00000,0.34057,0.94600,0.91500,0.00000,ciliated_sars_vs_healthy
COX6C,0.00000,0.60148,0.96300,0.94100,0.00000,ciliated_sars_vs_healthy
COX7A2,0.00000,0.82781,0.94100,0.89900,0.00000,ciliated_sars_vs_healthy
COX7A2L,0.00000,0.25499,0.80600,0.54100,0.00000,ciliated_sars_vs_healthy
COX7B,0.00000,0.45130,0.94100,0.87300,0.00000,ciliated_sars_vs_healthy
COX7C,0.00000,0.45084,0.95900,0.93400,0.00000,ciliated_sars_vs_healthy
